Symbols
ADA/USD
ADA/USDT
ALGO/USD
ATOM/USD
ATOM/USDT
BAT/USD
BAT/USDT
BCH/BTC
BCH/USD
BCH/USDT
BNB/BTC
BNB/USD
BNB/USDT
BTC/BUSD
BTC/USD
BTC/USDT
BUSD/USD
DASH/USD
DOGE/USDT
ENJ/USD
ETC/USD
ETC/USDT
ETH/BTC
ETH/USD
ETH/USDT
ICX/USD
IOTA/USD
LINK/USD
LTC/BTC
LTC/USD
LTC/USDT
NANO/USD
NEO/USD
NEO/USDT
QTUM/USD
QTUM/USDT
RVN/USD
USDT/USD
VET/USDT
WAVES/USD
XLM/USD
XLM/USDT
XRP/BTC
XRP/USD
XRP/USDT
ZEC/USD
ZRX/USD
ZRX/USDT
